position,n,mean,median,standard_deviation,variance,minimum,q1,q3,maximum,iqr
Defender,60,3.434578907565405,2.905125846123365,1.8686976691237498,3.4920309785885357,1.2323065595335856,1.8763826957177305,4.185403690857164,8.690401237255644,2.309020995139434
Midfielder,60,4.641097870516654,4.28526398763039,1.818614187552238,3.3073575631662866,0.0,3.3982778074613265,5.676955189738049,9.2252089491523,2.2786773822767223
