position,n,mean,standard_deviation,z_statistic,standard_error,margin_of_error,confidence_level,lower_bound,upper_bound
Defender,60,3.434578907565405,1.8686976691237498,1.959963984540054,0.24124783172043002,0.4728370615204225,0.95,2.9617418460449825,3.907415969085828
Midfielder,60,4.641097870516654,1.818614187552238,1.959963984540054,0.23478208205221163,0.4601644250376626,0.95,4.180933445478991,5.101262295554316
