Crosses,LinebreaksAttemptedDefensiveLine,Passes,PassesCompleted,TimePlayed,player_id,team,team_id,advanced,position,linebreaks_per90,linebreaks_per100passes,crosses_per90,passing_accuracy_rate
8,13.0,165,142,500.45925,430740,MAR,43872,True,Forward,2.337852682311297,7.878787878787878,1.438678573730029,86.06060606060606
12,15.0,200,161,458.66215,430605,BRA,43924,True,Midfielder,2.943342937715702,7.5,2.3546743501725618,80.5
34,17.0,201,163,476.7946333333333,403585,MEX,43911,True,Forward,3.2089287358449714,8.45771144278607,6.417857471689943,81.09452736318407
2,17.0,229,207,535.375,430750,ESP,43969,True,Forward,2.857809946299323,7.423580786026202,0.3362129348587439,90.39301310043668
15,13.0,474,433,857.4236500000001,430735,ESP,43969,True,Defender,1.3645529838137773,2.7426160337552745,1.57448421209282,91.35021097046413
7,3.0,68,55,431.2478333333334,441234,PAR,43928,True,Forward,0.6260901020951988,4.411764705882353,1.4608769048887973,80.88235294117648
38,7.0,449,402,650.4326666666667,400721,MAR,43872,True,Defender,0.9685860386265962,1.55902004454343,5.2580384954015225,89.53229398663697
0,1.0,226,212,390.04965000000004,448607,MAR,43872,True,Defender,0.23073985581066409,0.4424778761061947,0.0,93.80530973451327
2,1.0,69,59,186.09703333333334,431781,HAI,43908,False,Defender,0.4836186713347212,1.4492753623188406,0.9672373426694424,85.5072463768116
5,5.0,37,27,215.49868333333336,433426,MAR,43872,True,Forward,2.0881798117714716,13.513513513513514,2.0881798117714716,72.97297297297297
9,3.0,54,47,217.78018333333335,494293,MAR,43872,True,Midfielder,1.2397822238341092,5.555555555555555,3.719346671502327,87.03703703703704
3,5.0,218,193,286.9562166666667,395084,KOR,43822,False,Midfielder,1.5681834853667858,2.293577981651376,0.9409100912200716,88.53211009174312
20,12.0,159,140,300.0228,418490,KOR,43822,False,Midfielder,3.59972642079202,7.547169811320755,5.999544034653367,88.0503144654088
6,12.0,86,63,349.2808333333333,405545,ESP,43969,True,Forward,3.092067748731322,13.953488372093023,1.546033874365661,73.25581395348837
5,1.0,65,52,155.35448333333335,523097,CZE,43995,False,Midfielder,0.5793202620801953,1.5384615384615385,2.896601310400976,80.0
20,10.0,110,79,301.0626833333333,472908,CZE,43995,False,Defender,2.989410676990246,9.090909090909092,5.978821353980492,71.81818181818181
0,12.0,660,618,824.1481833333335,335999,ESP,43969,True,Defender,1.3104439490867448,1.8181818181818181,0.0,93.63636363636364
44,18.0,218,178,522.9011166666667,447860,ESP,43969,True,Midfielder,3.0981000964905188,8.256880733944955,7.573133569199046,81.65137614678899
6,5.0,152,142,217.34131666666667,382739,ESP,43969,True,Defender,2.0704760921742213,3.289473684210526,2.4845713106090654,93.42105263157895
8,4.0,149,124,664.9475333333335,430751,ESP,43969,True,Forward,0.5413960981182174,2.684563758389262,1.0827921962364349,83.22147651006712
9,6.0,50,45,159.79630000000003,447855,ESP,43969,True,Forward,3.3793022742078502,12.0,5.068953411311775,90.0
1,1.0,138,130,265.09478333333334,385531,AUT,43934,True,Midfielder,0.33950121110770004,0.7246376811594203,0.33950121110770004,94.20289855072464
7,8.0,150,130,412.32820000000004,385259,AUT,43934,True,Midfielder,1.746181803718494,5.333333333333334,1.5279090782536824,86.66666666666667
0,2.0,29,20,207.01103333333333,401131,AUT,43934,True,Forward,0.8695188710553431,6.896551724137931,0.0,68.96551724137932
2,5.0,106,93,284.68021666666664,430763,MEX,43911,True,Midfielder,1.5807210113476449,4.716981132075472,0.632288404539058,87.73584905660378
6,7.0,81,71,253.85453333333334,390267,USA,43921,True,Forward,2.4817362594535766,8.641975308641975,2.127202508103066,87.65432098765432
0,2.0,431,413,520.8456000000001,430601,BRA,43924,True,Defender,0.3455918606204986,0.46403712296983757,0.0,95.82366589327145
10,5.0,99,93,327.07326666666665,475036,BRA,43924,True,Forward,1.3758385226225562,5.05050505050505,2.7516770452451125,93.93939393939394
15,21.0,142,116,505.95831666666675,405742,BRA,43924,True,Forward,3.7354855879267257,14.788732394366196,2.6682039913762323,81.69014084507043
5,1.0,131,121,388.0640000000001,403596,MEX,43911,True,Defender,0.23192050795745028,0.7633587786259541,1.1596025397872514,92.36641221374046
4,6.0,113,82,439.9449166666667,424422,PAR,43928,True,Midfielder,1.227426388038351,5.3097345132743365,0.818284258692234,72.56637168141593
15,18.0,163,129,415.9863666666667,448214,USA,43921,True,Midfielder,3.8943583968416915,11.042944785276074,3.2452986640347423,79.14110429447852
4,9.0,283,256,442.47535,464542,USA,43921,True,Defender,1.8306104509550645,3.180212014134275,0.8136046448689176,90.45936395759718
5,8.0,190,162,255.2108166666667,411726,BRA,43924,True,Midfielder,2.8211970378214763,4.2105263157894735,1.7632481486384228,85.26315789473684
2,2.0,199,182,391.34568333333334,419518,MEX,43911,True,Midfielder,0.4599514129473171,1.0050251256281406,0.4599514129473171,91.4572864321608
